"Title","Link","Desc","Year","Runtime"
"Sedin Dekha Hoyechilo","https://hoichoi.tv/films/title/sedin-dekha-hoyechilo","Kavita's father holds his daughter's lover's friends captive and asks them to reveal the couple's whereabouts. However, one of the boys, Abir, falls in love with his other daughter, Nandini.","2010",9180
"Sei To Abar Kache Ele","https://hoichoi.tv/films/title/sei-to-abar-kache-ele","Animesh, who falls in love with Ishita, goes through several setbacks and turmoil, in their relationship, which they try to desperately overcome.","2002",8880
"Shapath","https://hoichoi.tv/films/title/shapath","""Shapath"" is about a police officer and his family whose lives are at stake as he fights for justice for a woman who is raped by a politician’s son. ",NA,7741
"Shashi Babur Sansar","https://hoichoi.tv/films/title/shashi-babur-sansar","Sashibhushan who is the orthodox patriarch has a tough time dealing with the youngsters who want to live life on their own.","2002",7805
"Shatru Dhangso","https://hoichoi.tv/films/title/shatru-dhangso","The film revolves around a forest ranger who speaks up against smuggling. But will the corrupt system stop him? ","2002",9000
"Shesh Bichar","https://hoichoi.tv/films/title/shesh-bichar","""Shesh Bichar"" revolves around Rajiv and Subhra, who get married. But things take an unexpected turn when Subhra’s former lover Raja returns. ","2002",7743
"Shesh Porjonto","https://hoichoi.tv/films/title/shesh-porjonto","A young man falls in love with his new neighbour, who resides with her uncle and suspicious aunt. However, the man faces trouble wooing her due to her aunt.","2002",7100
"Shet Patharer Thala","https://hoichoi.tv/films/title/shet-patharer-thala","Based on Bani Basu’s novel, ""Sheth Pathorer Thala"" is about a widow Bandana, who falls in love with her son's mentor . Will society accept it when she falls in love?","1991",8574
"Shob Bhooturey","https://hoichoi.tv/films/title/shob-bhooturey","Aniket, along with his assistant Nandini travels to a village haunted by the spirits of children. Will Aniket be able to free the village from the curse of the ghosts ?","2019",6811
"Shriman Prithviraj","https://hoichoi.tv/films/title/shriman-prithviraj","Shriman Prithviraj is the story of Rasik, a mischievous boy, creates trouble at school and gets suspended, his father decides to get him married.","1958",6467
"Shudhu Tomari Jonyo","https://hoichoi.tv/films/title/shudhu-tomari-jonyo","After his girlfriend's death, Adi is devastated while Nayantara is left in shock after her boyfriend leaves her. Adi and Nayantara get married to each other but find it difficult to forget their past.","2015",8940
"Sita","https://hoichoi.tv/films/title/sita","""Sita"" is a mythological film based on the epic, Ramayana, focusing on the tragic life of Lord Rama’s wife, Sita Devi. ","2002",8103
"Sri Sri Tarakeshwar","https://hoichoi.tv/films/title/sri-sri-tarakeshwar","A film exploring the deep dedication of devotees towards Lord Shiva. Will the Lord help them during their crises? ","1957",6035
"Subha Bibaha","https://hoichoi.tv/films/title/subha-bibaha","""Subha Bibaha"" is about a wedding that gets cancelled when the bride runs away with her lover. What happens next?","1959",6079
"Superstar A love story","https://hoichoi.tv/films/title/superstar-love-story","""Superstar- a love story"" revolves around a junior artist who falls in love with a superstar. Will he get the girl of his dreams? ","2002",6960
"Swabhoomi","https://hoichoi.tv/films/title/swabhoomi","A Bengali film about four youngsters and a couple fighting against the anti-social elements harming innocent villagers. Watch the full movie online on hoichoi.
","2008",7056
"Swapnerdin","https://hoichoi.tv/films/title/swapnerdin","The film ""Swapner Din"" revolves around a man who wants to educate the people in the villages of Bengal. Will he succeed? ","2014",5520
"Swarna Sikhar Prangane","https://hoichoi.tv/films/title/swarna-sikhar-prangane","A trip to Darjeeling became a lifetime memory for few people, who found the answers they had been seeking for long.","1982",6969
"Swartho","https://hoichoi.tv/films/title/swartho","A farmer who leaves everything to settle with his nephews, not knowing that they want his money. What happens when he confronts his nephews ?","2002",8254
"Sweater","https://hoichoi.tv/films/title/sweater","Tuku, a simple girl recieves a task from her would be mother in law to knit a sweater in order to marry her son. Will Tuku succeed ? Watch the tale of a woman's journey of finding her self - ""Sweater"".","2018",6889
"Take One","https://hoichoi.tv/films/title/take-one","An Indian Actress Doel Mitra, shoots to overnight infamity igniting the wrath of conservative indian society when a bold sex-scene from one of her foreign films is leaked on the internet","2008",5859
"Tangra Blues","https://hoichoi.tv/movies/watch-tangra-blues-bengali-movie-online","After gaining country-wide fame with his band’s offbeat music, Sanjib, an erstwhile gang member, watches helplessly as his band sinks into oblivion. He forms a new band with a group of young slum kids from Tangra. Joyee, a musician from Mumbai, becomes fascinated with the band’s performance and starts getting involved in the unique lives of the band’s members. Will Joyee be able to breathe fresh air into Sanjib’s life and turn things around for the band? Watch Tangra Blues Bengali full movie, only on hoichoi.",NA,7236
"Tara","https://hoichoi.tv/films/title/tara","The fim revolves around Madhuja who decides to get justice for her father, when he is tortured and framed by the police. However, it is not that easy as many people try to silence her.","2014",8220
"Tarikh","https://hoichoi.tv/movies/watch-tarikh-bengali-movie-online","Anirban, an idealist professor, and Ira, a conservative hospitality professional, are happily married. However, something unusually strong seems to pull Ira towards Anirban’s friend, Rudranshu. Tarikh explores various facets of human existence – life, death, morals, immortality, unrequited love, sacrifices – through the lives of these three characters with contrasting views of the world and life.",NA,6914
"Thammar Boyfriend","https://hoichoi.tv/films/title/thammar-boyfriend","""Thammar Boyfriend"" revolves around a wealthy but lonely woman, Nandini who decides to tie the knot again with a young and handsome bridegroom, Partho. ","2011",7098
"The Parcel","https://hoichoi.tv/movies/watch-the-parcel-bengali-movie-online","What happens when you suddenly start receiving mysterious parcels containing seemingly ordinary gifts? 'The Parcel' is the story of Nandini and Souvik, whose blissful life gets stirred by parcels from an anonymous sender. Which dark secret threatens to unmask itself and turn everything upside down?",NA,7483
"Titas Ekti Nadir Naam","https://hoichoi.tv/films/title/titas-ekti-nadir-naam","A Ritwik Ghatak film, ""Titas Ekti Nadir Naam"" is about a woman who’s saved by a fisherman from being sacrificed. But what’s in her fate? ","1977",8933
"Titli","https://hoichoi.tv/films/title/titli","A teenager, Titli, who meets her favourite superstar, Rohit Roy, at an airport with her mother. But, her dreams get quickly shattered.","2013",6231
"Total Dadagiri","https://hoichoi.tv/films/title/total-dadagiri","Joy falls in love with Jonaki, an MBA student, but is disliked by her father because of his failures as a student. Will he be able to convince her father ?","2017",8764
"Troyee","https://hoichoi.tv/films/title/troyee","The classic tale of love triangle, ""Troyee"" is about three college students, Avik, Ranjan and Seema, who hang out together all the time but things get complicated when Avik and Ranjan fall in love with Seema.","1980",6326
"Tulkalam","https://hoichoi.tv/films/title/tulkalam","The sudden boom in industrialisation threatens to take away the fertile lands from a village wherein honest, hard-working people work to make a living.","2010",7920
"Uttar Meleni","https://hoichoi.tv/films/title/uttar-meleni","""Uttar Meleni"" is about a modern woman’s life-long struggles. Does society view a self-reliant woman in a positive light? ","2002",8776
"Uttarayan","https://hoichoi.tv/films/title/uttarayan","""Uttarayan"" is a classic tale of love within the war infested country. Can it triumph amidst the adversities of war?","1962",8123
"Vidyasagar","https://hoichoi.tv/films/title/vidyasagar","In a bid to eradicate social evils and propagate a progressive mindset, Ishwar Chandra Vidyasagar strives hard to educate the masses.","2002",8520
"Warrish","https://hoichoi.tv/films/title/warrish","""Warrish"" is about a man caught between his married life and his one-time fling with a former lover who is now dying. ","2012",8075
"Yoddha (2014)","https://hoichoi.tv/films/title/yoddha","Rudra, a soldier in ancient times, dies while fighting for his one true love, Princess Durga and is reincarnated as Abir and resumes his search for his lover.",NA,9038
"Zulfiqar","https://hoichoi.tv/films/title/zulfiqar","An adaptation of two of William Shakespeare's tragedies: Julius Caesar and Antony and Cleopatra, Zulfiqar tells the story of opposing members of a powerful criminal organisation who fight with each other, ultimately leading to violence and bloodshed.","2016",8296
