"Title","Link","Desc","Year","Runtime"
"Chowringhee","https://hoichoi.tv/films/title/chowringhee","""Chowringhee"" revolves around Shankar, an author working at one of the most reputed hotels of Kolkata, meets an array of people who go through various tragedies.","1965",9553
"Chupi Chupi Ashey","https://hoichoi.tv/films/title/chupi-chupi-ashey","Based on Agatha Christie's short story Three Blind Mice, "" Chupi Chupi Ashey"" is about a group of people who get stuck in a guest house with a serial killer, where a detective comes to their rescue.","1958",8776
"Cinemawala","https://hoichoi.tv/films/title/cinemawala","With the advanced technology changing the way movies are distributed to the public, Kamalini, a small town movie theatre is threatened into becoming obsolete.","2012",6300
"Clerk","https://hoichoi.tv/films/title/clerk","""Clerk""- explores the complexities of human mind, telling the story of a shy man who changes his personality at night. ","2012",5040
"Cockpit","https://hoichoi.tv/movies/cockpit-2017","Inspired by true events, Cockpit narrates the story of a braveheart pilot who leads his flight from Mumbai to Kolkata through a turbulent storm.
","2017",7902
"Dadu No.1","https://hoichoi.tv/films/title/dadu-no1","A rich businessman, Bhawani Chatterjee, offers a job to Mamta, a widow, at his office. Later, he requests her to marry one of his grandsons.","1985",8460
"Darpa Churna","https://hoichoi.tv/films/title/darpa-churna","A Bengali film based on Saratchandra Chattopadhyay’s novel, narrating the story of the writer’s life during his youth. Watch the movie online on hoichoi. 
","1985",8100
"Deep Jele Jaai","https://hoichoi.tv/films/title/deep-jele-jaai","Radha, a nurse working in a psychiatric hospital pretends to be in love with Tapas as a part of the treatment and eventually falls in love with him. However, after his recovery Tapas fails to recognise Radha.","1959",7247
"Deepar Prem","https://hoichoi.tv/films/title/deepar-prem","Set in the yesteryear, Deepar Prem explore the times when things were simpler, this film highlights the pangs and sweetness of new love.","1982",5349
"Dekh Kemon Lage","https://hoichoi.tv/films/title/dekh-kemon-lage","Rahul constantly lands in trouble and his best friend Gunja helps him out. But when Rahul's father forces him to get married, Gunja refuses to come to his aid.","2017",8308
"Dekha","https://hoichoi.tv/films/title/dekha","""Dekha"" revolves around an ageing poet affected with glaucoma and near blindness whose wife has deserted him because of his reckless lifestyle.","2015",7372
"Devipaksha","https://hoichoi.tv/films/title/devipaksha","Haimanti, a lady from a pious family who is molested by a local goon, has to face troubles to establish a new life for herself away from her family.","2014",6428
"Deya Neya","https://hoichoi.tv/films/title/deya-neya","Prasanta, the son of a rich businessman, aspires to become a famous singer. However, when he leaves for Kolkata to fulfil his dreams, he falls in love with Sucharita.","1962",6399
"Dhanni Meye","https://hoichoi.tv/films/title/dhanni-meye","""Dhanni Meye"" a classic romantic comedy that revolves around football narrating a young couple’s story of getting married because of a village tournament. ","1969",7932
"Dhanraj Tamang","https://hoichoi.tv/films/title/dhanraj-tamang","""Dhanraj Tamang"" is about a tea-estate labourer who fails to save his wife from abuse from his boss. However, he decides to exact revenge after he is jailed on false allegations.","1977",6524
"Dolan Chanpa","https://hoichoi.tv/films/title/dolon-chanpa","""Dolan Chanpa"" explores the love story of Charan and Chanpa who get married, not knowing what fate has in store for them.","1985",8553
